name,price
"Olives - Green, Pitted",$98.00
Sun - Dried Tomatoes,$51.26
Peppercorns - Pink,$74.40
Carbonated Water - Wildberry,$56.51
Onions - Pearl,$73.67
"Beef - Rib Roast, Capless",$91.30
Container Clear 8 Oz,$76.79
Crab Meat Claw Pasteurise,$80.03
Papadam,$97.27
Banana,$60.92
Apricots Fresh,$64.15
Liqueur - Melon,$96.12
Syrup - Monin - Granny Smith,$52.98
"Turkey - Breast, Smoked",$95.95
Wine - Gewurztraminer Pierre,$86.95
Milk - 2% 250 Ml,$65.14
Shallots,$60.67
Soup - French Onion,$78.99
Lychee - Canned,$97.46
Dip - Tapenade,$63.35
Lettuce - Escarole,$71.44
Knife Plastic - White,$86.82
"Champagne - Brights, Dry",$56.87
Almonds Ground Blanched,$80.35
Beef - Montreal Smoked Brisket,$86.34
Pie Filling - Cherry,$94.86
Anchovy Paste - 56 G Tube,$58.21
Peach - Halves,$81.24
Cauliflower,$73.65
Cookie Choc,$68.80
Foam Espresso Cup Plain White,$87.79
Bay Leaf Ground,$67.27
"Lentils - Green, Dry",$59.63
Gherkin - Sour,$96.14
Tea - Vanilla Chai,$74.12
Shrimp - Tiger 21/25,$80.15
"Pepper - Julienne, Frozen",$61.86
Pasta - Cheese / Spinach Bauletti,$68.62
"Apple - Delicious, Golden",$73.97
Nantucket - Carrot Orange,$51.45
Barramundi,$74.25
Coffee - Egg Nog Capuccino,$75.19
Mix - Cappucino Cocktail,$93.17
Muffin Hinge - 211n,$53.91
Peas Snow,$50.10
Kolrabi,$96.87
"Mop Head - Cotton, 24 Oz",$83.67
"Pasta - Penne Primavera, Single",$67.67
Pepper - Green Thai,$93.87
Bagelers - Cinn / Brown,$60.18
Cheese - Parmesan Grated,$58.42
The Pop Shoppe - Grape,$73.53
Heavy Duty Dust Pan,$78.01
"Wine - Red, Lurton Merlot De",$99.47
Pasta - Angel Hair,$96.73
Wine - Muscadet Sur Lie,$88.17
Flour - Cake,$51.46
Muffin - Blueberry Individual,$77.53
Fruit Salad Deluxe,$94.40
Chocolate Liqueur - Godet White,$90.64
Ecolab Silver Fusion,$85.49
Juice - Prune,$68.68
Sauce - Sesame Thai Dressing,$89.45
"Placemat - Scallop, White",$81.39
"Hickory Smoke, Liquid",$89.94
"Chicken - Leg, Fresh",$64.68
Pastrami,$96.56
Chips Potato Swt Chilli Sour,$87.07
Oyster - In Shell,$78.14
Cookie Dough - Chocolate Chip,$79.04
"Jam - Blackberry, 20 Ml Jar",$56.41
"Quail - Whole, Bone - In",$96.07
Nescafe - Frothy French Vanilla,$97.89
Magnotta - Bel Paese White,$69.58
Monkfish - Fresh,$96.07
Crackers Cheez It,$90.52
Lettuce - Sea / Sea Asparagus,$70.89
Muffin Batt - Blueberry Passion,$56.84
"Lettuce - Mini Greens, Whole",$63.93
Carroway Seed,$63.89
"Bread - Crumbs, Bulk",$99.37
Urban Zen Drinks,$94.93
Squid Ink,$96.19
Icecream Bar - Del Monte,$54.59
Waffle Stix,$62.64
Island Oasis - Raspberry,$86.88
Sauce Tomato Pouch,$91.31
Sauce - Ranch Dressing,$66.80
Potatoes - Yukon Gold 5 Oz,$54.95
"Syrup - Monin, Amaretta",$75.94
"Crab - Blue, Frozen",$76.04
Wine - Manischewitz Concord,$87.56
Vinegar - White,$55.34
"Pasta - Fettuccine, Dry",$91.51
"Tuna - Canned, Flaked, Light",$66.29
Steam Pan Full Lid,$64.88
Beef - Flank Steak,$82.21
"Bread - Multigrain, Loaf",$52.51
Mix - Cocktail Ice Cream,$74.46
"Carrots - Mini, Stem On",$65.59
